Rank,Name,GDP Growth,GDP per Capita,Trade Balance/GDP,Population
1,United Kingdom,1.70%,"$39,700 ",-3.80%,65.1 M
2,Sweden,2.10%,"$53,400 ",3.30%,9 M
3,Hong Kong,3.80%,"$46,200 ",4.30%,7.2 M
4,Netherlands,2.90%,"$48,200 ",10.50%,17.2 M
5,New Zealand,3%,"$42,900 ",-2.70%,4.5 M
6,Canada,3%,"$45,000 ",-2.90%,35.9 M
7,Denmark,2.30%,"$56,300 ",7.60%,5.8 M
8,Singapore,3.60%,"$57,700 ",18.80%,5 M
9,Australia,2.20%,"$53,800 ",-2.60%,23.5 M
10,Switzerland,1.70%,"$80,200 ",9.80%,8.3 M
11,Ireland,7.20%,"$69,300 ",8.50%,5.1 M
12,Taiwan,2.90%,"$24,300 ",14.50%,23.5 M
13,Finland,2.80%,"$45,700 ",0.70%,5.5 M
14,Germany,2.50%,"$44,500 ",7.90%,80.5 M
15,Norway,1.90%,"$75,500 ",5.50%,5.4 M
16,South Korea,3.10%,"$29,700 ",5.10%,51.4 M
17,United States,2.20%,"$59,500 ",-2.30%,329.3 M
18,Spain,3%,"$28,200 ",1.90%,49.3 M
19,Japan,1.70%,"$38,400 ",4%,126.2 M
20,Belgium,1.70%,"$43,300 ",-0.20%,11.6 M
21,France,2.30%,"$38,500 ",-0.60%,67.4 M
22,Austria,3%,"$47,300 ",1.90%,8.8 M
23,Luxembourg,2.30%,"$104,100 ",5%,0.6 M
24,Israel,3.30%,"$40,300 ",2.90%,8.4 M
25,Portugal,2.70%,"$21,100 ",0.50%,10.4 M
26,Iceland,4%,"$70,100 ",3.50%,0.3 M
27,Lithuania,3.90%,"$16,700 ",0.80%,2.8 M
28,Estonia,4.90%,"$19,700 ",3.10%,1.2 M
29,Czech Republic,4.30%,"$20,400 ",1.10%,10.7 M
30,Italy,1.50%,"$32,000 ",2.80%,62.2 M
31,Slovenia,5%,"$23,600 ",7.10%,2.1 M
32,United Arab Emirates,0.80%,"$40,700 ",6.90%,9.7 M
33,Chile,1.50%,"$15,300 ",-1.50%,17.9 M
34,Poland,4.70%,"$13,800 ",0.30%,38.4 M
35,Malaysia,5.90%,"$9,900 ",3%,31.8 M
36,Latvia,4.50%,"$15,600 ",-0.80%,1.9 M
37,Cyprus,3.90%,"$25,200 ",-6.70%,1.2 M
38,Slovakia,3.40%,"$17,600 ",-2.10%,5.4 M
39,Mauritius,3.80%,"$10,500 ",-6.60%,1.4 M
40,Hungary,4%,"$14,200 ",3.20%,9.8 M
41,Romania,6.90%,"$10,800 ",-3.40%,21.5 M
42,Greece,1.40%,"$18,600 ",-0.80%,10.8 M
43,Malta,6.70%,"$26,900 ",13.60%,0.4 M
44,Georgia,5%,"$4,100 ",-8.90%,4.9 M
45,Qatar,1.60%,"$63,500 ",3.90%,2.4 M
46,Bulgaria,3.60%,"$8,000 ",4.50%,7.1 M
47,Thailand,3.90%,"$6,600 ",11.20%,68.6 M
48,Costa Rica,3.30%,"$11,600 ",-2.90%,4 M
49,China,6.90%,"$8,800 ",1.40%,"1,384.7 M"
50,Oman,-0.90%,"$15,700 ",-15.20%,3.5 M
51,Saudi Arabia,-0.90%,"$20,800 ",2.20%,33.1 M
52,Croatia,2.80%,"$13,300 ",3.90%,4.3 M
53,Bahrain,3.80%,"$23,700 ",-4.50%,1.4 M
54,Mexico,2%,"$8,900 ",-1.70%,125 M
55,Russia,1.50%,"$10,700 ",2.20%,142.1 M
56,Serbia,1.90%,"$5,900 ",-5.70%,7.1 M
57,Turkey,7.40%,"$10,500 ",-5.60%,81.3 M
58,Uruguay,2.70%,"$16,200 ",1.50%,3.4 M
59,South Africa,1.30%,"$6,200 ",-2.50%,55.4 M
60,Indonesia,5.10%,"$3,800 ",-1.70%,262.8 M
61,Brunei,1.30%,"$28,300 ",16.70%,0.5 M
62,Morocco,4.10%,"$3,000 ",-3.60%,34.3 M
63,India,6.70%,"$1,900 ",-1.90%,"1,296.8 M"
64,Peru,2.50%,"$6,600 ",-1.10%,31.3 M
65,Kazakhstan,4%,"$8,800 ",-3.40%,18.7 M
66,Seychelles,5.30%,"$15,500 ",-20.50%,0.1 M
67,Colombia,1.80%,"$6,300 ",-3.30%,48.2 M
68,Macedonia,0%,"$5,400 ",-1.30%,2.1 M
69,Jordan,2%,"$4,100 ",-10.60%,10.5 M
70,Azerbaijan,0.10%,"$4,100 ",4.10%,9 M
71,Kuwait,-3.30%,"$29,000 ",5.90%,2.9 M
72,Montenegro,4.30%,"$7,700 ",-16.30%,0.6 M
73,Brazil,1%,"$9,800 ",-0.50%,208.8 M
74,Albania,3.80%,"$4,500 ",-6.90%,3.1 M
75,Panama,5.40%,"$15,100 ",-4.90%,3.8 M
76,Argentina,2.90%,"$14,400 ",-4.90%,44.7 M
77,Ukraine,2.50%,"$2,600 ",-1.90%,43 M
78,Sri Lanka,3.30%,"$4,100 ",-2.60%,22.6 M
79,Philippines,6.70%,"$3,000 ",-0.80%,105.9 M
80,Jamaica,0.70%,"$5,100 ",-4.60%,2.8 M
81,Armenia,7.50%,"$3,900 ",-2.80%,2 M
82,Tunisia,2%,"$3,500 ",-10.50%,11.5 M
83,Botswana,2.40%,"$7,600 ",12.30%,2.2 M
84,Vietnam,6.80%,"$2,300 ",2.50%,96 M
