Rank,Name,GDP Growth,GDP per Capita,Population
1,United Kingdom,1.7,39700,65.1
2,Sweden,2.1,53400,9
3,Hong Kong,3.8,46200,7.2
4,Netherlands,2.9,48200,17.2
5,New Zealand,3,42900,4.5
6,Canada,3,45000,35.9
7,Denmark,2.3,56300,5.8
8,Singapore,3.6,57700,5
9,Australia,2.2,53800,23.5
10,Switzerland,1.7,80200,8.3
11,Ireland,7.2,69300,5.1
12,Taiwan,2.9,24300,23.5
13,Finland,2.8,45700,5.5
14,Germany,2.5,44500,80.5
15,Norway,1.9,75500,5.4
16,South Korea,3.1,29700,51.4
17,United States,2.2,59500,329.3
18,Spain,3,28200,49.3
19,Japan,1.7,38400,126.2
20,Belgium,1.7,43300,11.6
21,France,2.3,38500,67.4
22,Austria,3,47300,8.8
23,Luxembourg,2.3,104100,0.6
24,Israel,3.3,40300,8.4
25,Portugal,2.7,21100,10.4
26,Iceland,4,70100,0.3
27,Lithuania,3.9,16700,2.8
28,Estonia,4.9,19700,1.2
29,Czech Republic,4.3,20400,10.7
30,Italy,1.5,32000,62.2
31,Slovenia,5,23600,2.1
32,United Arab Emirates,0.8,40700,9.7
33,Chile,1.5,15300,17.9
34,Poland,4.7,13800,38.4
35,Malaysia,5.9,9900,31.8
36,Latvia,4.5,15600,1.9
37,Cyprus,3.9,25200,1.2
38,Slovakia,3.4,17600,5.4
39,Mauritius,3.8,10500,1.4
40,Hungary,4,14200,9.8
41,Romania,6.9,10800,21.5
42,Greece,1.4,18600,10.8
43,Malta,6.7,26900,0.4
44,Georgia,5,4100,4.9
45,Qatar,1.6,63500,2.4
46,Bulgaria,3.6,8000,7.1
47,Thailand,3.9,6600,68.6
48,Costa Rica,3.3,11600,4
49,China,6.9,8800,"1,384.70"
50,Oman,-0.9,15700,3.5
51,Saudi Arabia,-0.9,20800,33.1
52,Croatia,2.8,13300,4.3
53,Bahrain,3.8,23700,1.4
54,Mexico,2,8900,125
55,Russia,1.5,10700,142.1
56,Serbia,1.9,5900,7.1
57,Turkey,7.4,10500,81.3
58,Uruguay,2.7,16200,3.4
59,South Africa,1.3,6200,55.4
60,Indonesia,5.1,3800,262.8
61,Brunei,1.3,28300,0.5
62,Morocco,4.1,3000,34.3
63,India,6.7,1900,"1,296.80"
64,Peru,2.5,6600,31.3
65,Kazakhstan,4,8800,18.7
66,Seychelles,5.3,15500,0.1
67,Colombia,1.8,6300,48.2
68,Macedonia,0,5400,2.1
69,Jordan,2,4100,10.5
70,Azerbaijan,0.1,4100,9
71,Kuwait,-3.3,29000,2.9
72,Montenegro,4.3,7700,0.6
73,Brazil,1,9800,208.8
74,Albania,3.8,4500,3.1
75,Panama,5.4,15100,3.8
76,Argentina,2.9,14400,44.7
77,Ukraine,2.5,2600,43
78,Sri Lanka,3.3,4100,22.6
79,Philippines,6.7,3000,105.9
80,Jamaica,0.7,5100,2.8
81,Armenia,7.5,3900,2
82,Tunisia,2,3500,11.5
83,Botswana,2.4,7600,2.2
84,Vietnam,6.8,2300,96
85,Trinidad and Tobago,-2.6,16100,1.2
86,Mongolia,5.1,3700,3.1
87,Moldova,4.5,2300,3.4
88,Belarus,2.4,5700,9.5
89,Barbados,-0.2,16800,0.3
